ts_utc,elapsed_s,scenario,deployment,replicas,ready,cpu_pct,desired
2026-07-13T00:44:18Z,196,hpa,authorization,1,1,11,1
2026-07-13T00:44:18Z,196,hpa,patient-data,1,1,17,1
2026-07-13T00:44:18Z,196,hpa,data-transform,1,1,22,1
2026-07-13T00:44:24Z,202,hpa,api-gateway,3,3,19,3
2026-07-13T00:44:24Z,202,hpa,authorization,1,1,11,1
2026-07-13T00:44:24Z,202,hpa,patient-data,1,1,17,1
2026-07-13T00:44:24Z,202,hpa,data-transform,1,1,22,1
2026-07-13T00:44:29Z,207,hpa,api-gateway,3,3,15,3
2026-07-13T00:44:29Z,207,hpa,authorization,1,1,11,1
2026-07-13T00:44:29Z,207,hpa,patient-data,1,1,18,1
2026-07-13T00:44:29Z,207,hpa,data-transform,1,1,16,1
2026-07-13T00:44:34Z,212,hpa,api-gateway,3,3,15,3
2026-07-13T00:44:34Z,212,hpa,authorization,1,1,11,1
2026-07-13T00:44:34Z,212,hpa,patient-data,1,1,18,1
2026-07-13T00:44:34Z,212,hpa,data-transform,1,1,16,1
2026-07-13T00:44:40Z,218,hpa,api-gateway,3,3,15,3
2026-07-13T00:44:40Z,218,hpa,authorization,1,1,11,1
2026-07-13T00:44:40Z,218,hpa,patient-data,1,1,18,1
2026-07-13T00:44:40Z,218,hpa,data-transform,1,1,16,1
2026-07-13T00:44:45Z,223,hpa,api-gateway,3,3,14,3
2026-07-13T00:44:45Z,223,hpa,authorization,1,1,11,1
2026-07-13T00:44:45Z,223,hpa,patient-data,1,1,17,1
2026-07-13T00:44:45Z,223,hpa,data-transform,1,1,32,1
2026-07-13T00:44:50Z,228,hpa,api-gateway,3,3,14,3
2026-07-13T00:44:50Z,228,hpa,authorization,1,1,11,1
2026-07-13T00:44:50Z,228,hpa,patient-data,1,1,17,1
2026-07-13T00:44:50Z,228,hpa,data-transform,1,1,32,1
2026-07-13T00:44:56Z,234,hpa,api-gateway,3,3,14,3
2026-07-13T00:44:56Z,234,hpa,authorization,1,1,11,1
2026-07-13T00:44:56Z,234,hpa,patient-data,1,1,17,1
2026-07-13T00:44:56Z,234,hpa,data-transform,1,1,32,1
2026-07-13T00:45:01Z,239,hpa,api-gateway,3,3,16,3
2026-07-13T00:45:01Z,239,hpa,authorization,1,1,9,1
2026-07-13T00:45:01Z,239,hpa,patient-data,1,1,17,1
2026-07-13T00:45:01Z,239,hpa,data-transform,1,1,32,1
2026-07-13T00:45:06Z,244,hpa,api-gateway,3,3,16,3
2026-07-13T00:45:06Z,244,hpa,authorization,1,1,9,1
2026-07-13T00:45:06Z,244,hpa,patient-data,1,1,17,1
2026-07-13T00:45:06Z,244,hpa,data-transform,1,1,32,1
2026-07-13T00:45:12Z,250,hpa,api-gateway,3,3,16,3
2026-07-13T00:45:12Z,250,hpa,authorization,1,1,9,1
2026-07-13T00:45:12Z,250,hpa,patient-data,1,1,17,1
2026-07-13T00:45:12Z,250,hpa,data-transform,1,1,32,1
2026-07-13T00:45:17Z,255,hpa,api-gateway,3,3,22,3
2026-07-13T00:45:17Z,255,hpa,authorization,1,1,10,1
2026-07-13T00:45:17Z,255,hpa,patient-data,1,1,14,1
2026-07-13T00:45:17Z,255,hpa,data-transform,1,1,9,1
2026-07-13T00:45:22Z,260,hpa,api-gateway,3,3,22,3
2026-07-13T00:45:22Z,260,hpa,authorization,1,1,10,1
2026-07-13T00:45:22Z,260,hpa,patient-data,1,1,14,1
2026-07-13T00:45:22Z,260,hpa,data-transform,1,1,9,1
2026-07-13T00:45:28Z,266,hpa,api-gateway,3,3,22,3
2026-07-13T00:45:28Z,266,hpa,authorization,1,1,9,1
2026-07-13T00:45:28Z,266,hpa,patient-data,1,1,15,1
2026-07-13T00:45:28Z,266,hpa,data-transform,1,1,20,1
2026-07-13T00:45:33Z,271,hpa,api-gateway,3,3,22,3
2026-07-13T00:45:33Z,271,hpa,authorization,1,1,9,1
2026-07-13T00:45:33Z,271,hpa,patient-data,1,1,15,1
2026-07-13T00:45:33Z,271,hpa,data-transform,1,1,20,1
2026-07-13T00:45:38Z,276,hpa,api-gateway,3,3,22,3
2026-07-13T00:45:38Z,276,hpa,authorization,1,1,9,1
2026-07-13T00:45:38Z,276,hpa,patient-data,1,1,15,1
2026-07-13T00:45:38Z,276,hpa,data-transform,1,1,20,1
2026-07-13T00:45:43Z,281,hpa,api-gateway,2,2,19,2
2026-07-13T00:45:43Z,281,hpa,authorization,1,1,11,1
2026-07-13T00:45:43Z,281,hpa,patient-data,1,1,15,1
2026-07-13T00:45:43Z,281,hpa,data-transform,1,1,10,1
2026-07-13T00:45:49Z,287,hpa,api-gateway,2,2,19,2
2026-07-13T00:45:49Z,287,hpa,authorization,1,1,11,1
2026-07-13T00:45:49Z,287,hpa,patient-data,1,1,15,1
2026-07-13T00:45:49Z,287,hpa,data-transform,1,1,10,1
2026-07-13T00:45:54Z,292,hpa,api-gateway,2,2,19,2
2026-07-13T00:45:54Z,292,hpa,authorization,1,1,11,1
2026-07-13T00:45:54Z,292,hpa,patient-data,1,1,15,1
2026-07-13T00:45:54Z,292,hpa,data-transform,1,1,10,1
2026-07-13T00:45:59Z,297,hpa,api-gateway,2,2,8,2
2026-07-13T00:45:59Z,297,hpa,authorization,1,1,2,1
2026-07-13T00:45:59Z,297,hpa,patient-data,1,1,7,1
2026-07-13T00:45:59Z,297,hpa,data-transform,1,1,3,1
2026-07-13T00:46:05Z,303,hpa,api-gateway,2,2,8,2
2026-07-13T00:46:05Z,303,hpa,authorization,1,1,2,1
2026-07-13T00:46:05Z,303,hpa,patient-data,1,1,7,1
2026-07-13T00:46:05Z,303,hpa,data-transform,1,1,3,1
2026-07-13T00:46:10Z,308,hpa,api-gateway,2,2,8,2
2026-07-13T00:46:10Z,308,hpa,authorization,1,1,2,1
2026-07-13T00:46:10Z,308,hpa,patient-data,1,1,7,1
2026-07-13T00:46:10Z,308,hpa,data-transform,1,1,3,1
2026-07-13T00:46:15Z,313,hpa,api-gateway,2,2,2,2
2026-07-13T00:46:15Z,313,hpa,authorization,1,1,1,1
2026-07-13T00:46:15Z,313,hpa,patient-data,1,1,1,1
2026-07-13T00:46:15Z,313,hpa,data-transform,1,1,1,1
2026-07-13T00:46:21Z,319,hpa,api-gateway,2,2,2,2
2026-07-13T00:46:21Z,319,hpa,authorization,1,1,1,1
2026-07-13T00:46:21Z,319,hpa,patient-data,1,1,1,1
2026-07-13T00:46:21Z,319,hpa,data-transform,1,1,1,1
2026-07-13T00:46:26Z,324,hpa,api-gateway,2,2,2,2
2026-07-13T00:46:26Z,324,hpa,authorization,1,1,1,1
2026-07-13T00:46:26Z,324,hpa,patient-data,1,1,1,1
2026-07-13T00:46:26Z,324,hpa,data-transform,1,1,1,1
2026-07-13T00:46:31Z,329,hpa,api-gateway,2,2,2,2
2026-07-13T00:46:31Z,329,hpa,authorization,1,1,1,1
2026-07-13T00:46:31Z,329,hpa,patient-data,1,1,1,1
2026-07-13T00:46:31Z,329,hpa,data-transform,1,1,1,1
2026-07-13T00:46:37Z,335,hpa,api-gateway,2,2,2,2
2026-07-13T00:46:37Z,335,hpa,authorization,1,1,1,1
2026-07-13T00:46:37Z,335,hpa,patient-data,1,1,1,1
2026-07-13T00:46:37Z,335,hpa,data-transform,1,1,1,1
2026-07-13T00:46:42Z,340,hpa,api-gateway,2,2,2,2
2026-07-13T00:46:42Z,340,hpa,authorization,1,1,1,1
2026-07-13T00:46:42Z,340,hpa,patient-data,1,1,1,1
2026-07-13T00:46:42Z,340,hpa,data-transform,1,1,1,1
2026-07-13T00:46:47Z,345,hpa,api-gateway,2,2,1,2
2026-07-13T00:46:47Z,345,hpa,authorization,1,1,1,1
2026-07-13T00:46:47Z,345,hpa,patient-data,1,1,3,1
2026-07-13T00:46:47Z,345,hpa,data-transform,1,1,0,1
2026-07-13T00:46:52Z,350,hpa,api-gateway,2,2,1,2
2026-07-13T00:46:52Z,350,hpa,authorization,1,1,1,1
